Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.1uF/50V(10%),C14663
C5,0603,1,10uF/10V(10%),C19702
C6,0603,1,0.1uF/10V(10%),C519438
H4,MY203208,1,MY-2032-08,C964831
"J14, J16",PinSocket_2x20_P2.54mm_Vertical_SMD,2,Conn_02x20_Odd_Even,C3975165
J2,JST_SM04B-SRSS-TB_LF__SN_,1,SM04B-SRSS-TB_LF__SN_,C160404
J3,PinSocket_2x02_P2.54mm_Vertical_SMD,1,Conn_02x02_Odd_Even,C3975147
J4,S2BPHSM4TBLFSN,1,S2B-PH-SM4-TB_LF__SN_,C295747
J5,TerminalBlock_4Ucon_1x03_P3.50mm_Horizontal,1,Screw_Terminal_01x03,C695630
J9,PinSocket_2x04_P2.54mm_Vertical_SMD,1,Conn_02x04_Odd_Even,C5160819
LED1,WS2812BBW,1,WS2812B-B_W,C2761795
LS1,MLT7525,1,MLT-7525,
Q1,SOT91P240X110-3N_DMG2305UX-7,1,DMG2305UX-7,C150470
"R3, R4, R6",0603,3,4.7k,
R7,ALSPT19315CL177TR8,1,ALS-PT19-315C_L177_TR8,C146233
R8,0603,1,10K(5%),
R9,0603,1,220,
S1,SKHUAKE010,1,SKHUAKE010,
S3,TS1101CW,1,TS-1101-C-W,
U1,SOIC127P1032X265-16N,1,DS3231SN,
U2,AHT20,1,AHT20,C2757850
