Designator,Mid X,Mid Y,Rotation,Layer
C1,137.6,-117.4,180.0,top
C5,156.2,-68.8,0.0,top
C6,156.21,-74.422,90.0,top
H4,162.0,-106.4,90.0,top
J14,148.84,-88.0,0.0,top
J16,128.52,-88.0,0.0,top
J2,119.4,-103.3,270.0,top
J3,118.73,-72.98,270.0,top
J4,138.65,-65.8,0.0,top
J5,118.316,-110.292,270.0,top
J6,168.5,-77.42,0.0,top
J7,168.5,-72.34,0.0,top
J8,168.5,-82.5,0.0,top
J9,118.88,-93.39,0.0,top
LED1,157.0,-123.0,180.0,top
LS1,128.405,-121.62,180.0,top
P1,162.0,-106.4,0.0,top
Q1,140.0,-74.0,180.0,top
R3,115.2,-85.8,270.0,top
R4,115.2,-82.0,270.0,top
R6,123.0,-104.4,90.0,top
R7,156.0,-79.2,0.0,top
R8,159.766,-79.6,270.0,top
R9,155.194,-71.12,180.0,top
S1,141.825,-122.35,0.0,top
S3,159.3,-63.4,0.0,top
U1,160.0,-87.4,0.0,top
U2,161.544,-72.644,270.0,top
