Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-1608-08_AVX-J_Pad1.25x1.05mm_HandSolder,1,0.1uF/50V(10%),
C5,CP_EIA-1608-10_AVX-L_Pad1.25x1.05mm_HandSolder,1,10uF/10V(10%),
C6,CP_EIA-1608-10_AVX-L_Pad1.25x1.05mm_HandSolder,1,0.1uF/10V(10%),
"H1, H2, H3, H5",MountingHole_2.7mm_M2.5_ISO7380_Pad_TopOnly,4,MountingHole_Pad,
H4,MY203208,1,MY-2032-08,
IC1,RASPBERRYPIPICOW,1,RASPBERRY_PI_PICO_W,
"J1, J11, J3",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Socket,
J10,PinSocket_1x03_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x03_Socket,
J12,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,Conn_01x01_Pin,
J2,JST_SM04B-SRSS-TB_LF__SN_,1,SM04B-SRSS-TB_LF__SN_,
J4,S2BPHSM4TBLFSN,1,S2B-PH-SM4-TB_LF__SN_,
J5,TerminalBlock_4Ucon_1x03_P3.50mm_Horizontal,1,Screw_Terminal_01x03,
"J6, J7, J8",Pin_D1.2mm_L10.2mm_W2.9mm_FlatFork,3,Conn_01x01_Pin,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_2_Open,
LED1,WS2812BBW,1,WS2812B-B_W,
LS1,MLT7525,1,MLT-7525,
Q1,SOT91P240X110-3N_DMG2305UX-7,1,DMG2305UX-7,
"R3, R4, R6",0603,3,4.7k,
R7,ALSPT19315CL177TR8,1,ALS-PT19-315C_L177_TR8,
R8,0603,1,10K(5%),
R9,0603,1,220,
S1,SKHUAKE010,1,SKHUAKE010,
S3,TS1101CW,1,TS-1101-C-W,
TP1,TestPoint_Pad_D2.0mm,1,TestPoint,
U1,SOIC127P1032X265-16N,1,DS3231SN,
U2,AHT20,1,AHT20,
