Designator,Mid X,Mid Y,Rotation,Layer
C1,133.731,-116.713,90.0,top
C5,156.591,-66.294,0.0,top
C6,156.21,-74.422,90.0,top
H4,163.274,-107.442,90.0,top
IC1,142.154,-87.63,0.0,top
J1,117.348,-89.545,0.0,top
J10,124.714,-63.627,270.0,top
J11,127.635,-107.442,180.0,top
J2,159.409,-121.539,0.0,top
J3,126.746,-88.509,180.0,top
J4,127.524,-121.36,180.0,top
J5,118.316,-110.292,270.0,top
J6,167.64,-74.93,0.0,top
J7,167.64,-69.85,0.0,top
J8,167.64,-80.01,0.0,top
LED1,123.915,-94.233,180.0,top
LS1,123.396,-74.168,180.0,top
Q1,156.7935,-63.246,0.0,top
R3,116.713,-100.711,270.0,top
R4,116.713,-104.3705,270.0,top
R6,118.618,-106.807,180.0,top
R7,157.353,-81.153,0.0,top
R8,159.766,-80.01,270.0,top
R9,156.591,-70.485,90.0,top
S1,138.938,-121.92,0.0,top
S3,151.384,-120.519,270.0,top
U1,160.988,-88.392,0.0,top
U2,161.544,-72.644,270.0,top
